candidate_name,votes,is_winner,source_document_id,source_url,source_locator,source_sha256,source_completeness
Carlie Ritch,194,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Tibor Steinberger,188,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Klim Khomenko,186,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Leo Gambin,165,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Daniel Walker,162,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Ram Narula,156,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Jamie Shannon,156,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Michael Nicula,145,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Gary McBean,135,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Charles Huang,134,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Russell Saunders,134,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Diana Maxted,117,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Jim Ruel,110,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Erwin Sniedzins,105,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Chai Kalevar,102,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Matt Mernagh,102,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Wally Schwauss,97,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Donovan Searchwell,90,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Ratan Wadhwa,73,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
René Viau,69,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Oweka-Arac Ongwen,56,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Jack Weenen,52,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
