election_cycle_id,candidate_id,candidate_name,candidate_name_as_reported,votes,valid_vote_total,share,is_winner,source_document_id,source_locator
toronto_2003,toronto_2003:wadhwa-ratan,"Wadhwa, Ratan","Wadhwa, Ratan",121,692085,0.000174834016052941,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:weston-richard,"Weston, Richard","Weston, Richard",133,692085,0.000192172926735878,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:yagiz-mehmet,"Yagiz, Mehmet","Yagiz, Mehmet",193,692085,0.000278867480150560,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:yee-scott,"Yee, Scott","Yee, Scott",551,692085,0.000796144982191494,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,tory,John Tory,"Tory, John",263189,692085,0.380284213644277798,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,miller,David Miller,MILLER DAVID,332969,584484,0.569680264985867877,true,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,pitfield,Jane Pitfield,PITFIELD JANE,188932,584484,0.323245803135757352,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:alexander-michael,ALEXANDER MICHAEL,ALEXANDER MICHAEL,5247,584484,0.008977149075081610,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:brooks-nicholas,BROOKS NICHOLAS,BROOKS NICHOLAS,1397,584484,0.002390142416216697,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:bruce-shaun,BRUCE SHAUN,BRUCE SHAUN,2820,584484,0.004824768513765988,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:campbell-douglas,CAMPBELL DOUGLAS,CAMPBELL DOUGLAS,4183,584484,0.007156739962086216,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:castillo-jaime,CASTILLO JAIME,CASTILLO JAIME,5215,584484,0.008922399928826110,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:clarke-kevin,CLARKE KEVIN,CLARKE KEVIN,2081,584484,0.003560405417428022,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:coles-glenn,COLES GLENN,COLES GLENN,1019,584484,0.001743418126073597,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:deb-soumen,DEB SOUMEN,DEB SOUMEN,517,584484,0.000884540894190431,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:derome-gerald,DEROME GERALD,DEROME GERALD,578,584484,0.000988906454239979,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:dicks-david,DICKS DAVID,DICKS DAVID,1283,584484,0.002195098582681476,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:dumoulin-dave,DUMOULIN DAVE,DUMOULIN DAVE,601,584484,0.001028257403111120,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:gold-mitch,GOLD MITCH,GOLD MITCH,880,584484,0.001505601522026266,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:goldhar-ryan,GOLDHAR RYAN,GOLDHAR RYAN,787,584484,0.001346486815721217,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:hossain-monowar,HOSSAIN MONOWAR,HOSSAIN MONOWAR,2726,584484,0.004663942896640456,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:jackson-hazel,JACKSON HAZEL,JACKSON HAZEL,3333,584484,0.005702465764674482,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:korolnek-mark,KOROLNEK MARK,KOROLNEK MARK,1079,584484,0.001846072775302660,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:ledrew-stephen,LEDREW STEPHEN,LEDREW STEPHEN,8078,584484,0.013820737607872927,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:maxted-diana-de,MAXTED DIANA-DE,MAXTED DIANA-DE,1311,584484,0.002243004085655039,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:muir-rodney,MUIR RODNEY,MUIR RODNEY,1458,584484,0.002494507976266245,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:naimji-duri,NAIMJI DURI,NAIMJI DURI,1240,584484,0.002121529417400647,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:porter-john,PORTER JOHN,PORTER JOHN,1348,584484,0.002306307786012962,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:romano-lee,ROMANO LEE,ROMANO LEE,3108,584484,0.005317510830065494,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:rubinovich-joel,RUBINOVICH JOEL,RUBINOVICH JOEL,1642,584484,0.002809315567235373,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2006,toronto_2006:schiebel-david,SCHIEBEL DAVID,SCHIEBEL DAVID,498,584484,0.000852033588601228,false,toronto_open_data_2006_results,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
